trial_no,vwap_buy_deviation,take_profit_pct,buy_confirm_min_score,notify_sell_threshold,notify_buy_threshold,stock_qty_strong_pct,stock_qty_base_pct,stock_rebuild_strong_pct,stock_first_add_pct,train_win_rate,train_total_pnl,train_n_trades,train_max_drawdown,train_annualized_return,train_composite_score,test_win_rate,test_total_pnl,test_n_trades,test_max_drawdown,test_annualized_return,test_composite_score,elapsed_sec,status
21,-0.019273129261037476,0.011338133175762438,18,50,53,0.596470144689378,0.3327748243110647,0.8068711735702202,0.25723963206702827,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,190.4,ok
22,-0.02486217935076461,0.014850707724342938,20,47,61,0.5662111189791008,0.27747942239278867,0.9432541991607146,0.23445670834907031,0,0,0,0,0,-9999.0,0,0,0,0,0,0,231.2,ok
23,-0.01871804374073349,0.0115415933924208,17,50,47,0.5626245922781701,0.3092094242527324,0.7515455607674821,0.2731570986903445,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,211.4,ok
24,-0.021366562038777646,0.015335824087617833,21,52,52,0.5329449793098402,0.37529581230869685,0.758362782114368,0.19004165200715323,0,0,0,0,0,-9999.0,0,0,0,0,0,0,191.5,ok
25,-0.016838232021423413,0.009412907781548612,19,47,56,0.5999211487570921,0.34152541881253534,0.8864324733431687,0.2413801858747101,0,0,0,0,0,-9999.0,0,0,0,0,0,0,209.5,ok
26,-0.019656523162211045,0.007079571594745742,23,52,42,0.4939383542555468,0.3210241330921373,0.9564384639111092,0.3191851301929961,0,0,0,0,0,-9999.0,0,0,0,0,0,0,233.5,ok
27,-0.022289750819045474,0.013166700013948254,17,57,51,0.5715313544575522,0.37867651486870896,0.8452702190750956,0.14055485132841622,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,197.3,ok
28,-0.025274711688314962,0.012262451253538616,16,43,59,0.4207729606061295,0.2607757307038,0.9079907962250575,0.28053553084145544,0,0,0,0,0,-9999.0,0,0,0,0,0,0,207.2,ok
29,-0.016890651788947057,0.01026919576258289,22,60,44,0.5418336855601641,0.3473723692547588,0.9391982463043944,0.37487930572945516,0.0,-3.83,1,-0.0183,0.0544,0.0,0,0,0,0,0,0,208.0,ok
30,-0.022106271048685882,0.01599561856677561,26,60,46,0.5176777544336304,0.30122830835632824,0.6859751716563139,0.28410907240499844,0,0,0,0,0,-9999.0,0,0,0,0,0,0,204.0,ok
31,-0.019115950052900864,0.011434535230845613,18,49,54,0.5879685131256102,0.32488339531977267,0.8107371168752001,0.2547987637665744,0,0,0,0,0,-9999.0,0,0,0,0,0,0,223.5,ok
32,-0.019980551557030053,0.007696714357173945,19,51,54,0.5805234543965956,0.3336113328032144,0.775694767005182,0.25522026320159413,0,0,0,0,0,-9999.0,0,0,0,0,0,0,226.1,ok
33,-0.01682448701987664,0.005232874267308008,16,54,50,0.5575387711825036,0.3703778762694207,0.6991911726089768,0.23118231277393392,0,0,0,0,0,-9999.0,0,0,0,0,0,0,207.4,ok
34,-0.02024258906293997,0.010593257511755657,18,48,47,0.5971847628771368,0.29202263972715964,0.9694788144013406,0.277561471179846,0.0,-3.83,1,-0.0183,0.0544,0.0,0,0,0,0,0,0,173.5,ok
35,-0.02644639799263993,0.012288551451787824,15,46,44,0.4760755677192311,0.26793285126166355,0.6239881400683289,0.3263114356750581,0.0,-3.83,1,-0.0208,0.0621,0.0,0,0,0,0,0,0,187.8,ok
36,-0.021962807952443382,0.009812025749080586,20,44,49,0.527963650499069,0.31436168153365784,0.8706989245681457,0.262879093738994,0.0,-3.83,1,-0.0183,0.0544,0.0,0,0,0,0,0,0,177.0,ok
37,-0.023895032032828865,0.00670165981351184,24,64,46,0.4197398367473994,0.17837993426923987,0.8226729909522302,0.17663466992119972,0,0,0,0,0,-9999.0,0,0,0,0,0,0,159.3,ok
38,-0.018020077520139323,0.01345206682196345,16,53,52,0.3618180336373972,0.39684566268243965,0.7243226857277257,0.3354683150313848,0,0,0,0,0,-9999.0,0,0,0,0,0,0,158.6,ok
39,-0.0194575486238425,0.011477632665445589,25,42,55,0.4430408425871716,0.33428782835884024,0.9206789697603646,0.2947441659825635,0,0,0,0,0,-9999.0,0,0,0,0,0,0,170.1,ok
40,-0.0266394305888999,0.017787125258509433,21,58,59,0.5502199139926057,0.24589383795667352,0.7801445851839244,0.36796235370256847,0,0,0,0,0,-9999.0,0,0,0,0,0,0,172.0,ok
41,-0.01851759739313054,0.011377345992537882,17,50,47,0.5733391596184486,0.3074962228109831,0.78720483464677,0.2639035722081904,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,215.5,ok
42,-0.021186459195227443,0.012227948393989939,18,45,45,0.5797940932000535,0.34715457445592535,0.6595653975351956,0.2473962273095592,0.0,-3.83,1,-0.0208,0.0621,0.0,0,0,0,0,0,0,137.7,ok
43,-0.018923765154263104,0.010842722872949347,17,51,42,0.5530086437522199,0.3266721418368037,0.835144409079788,0.22465424571308665,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,151.1,ok
