open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
78.67,80.54,77.06,80.24,57469900.0,000988.SZ,20251015,华工科技,NA,CNY
79.49,82.97,78.89,80.83,57095500.0,000988.SZ,20251016,华工科技,NA,CNY
81.13,81.36,77.21,77.37,49130700.0,000988.SZ,20251017,华工科技,NA,CNY
79.38,82.54,78.77,79.61,61602900.0,000988.SZ,20251020,华工科技,NA,CNY
80.67,83.81,79.56,82.64,74471700.0,000988.SZ,20251021,华工科技,NA,CNY
82.58,87.03,81.96,85.02,78475300.0,000988.SZ,20251022,华工科技,NA,CNY
84.02,84.36,80.4,82.46,57540500.0,000988.SZ,20251023,华工科技,NA,CNY
78.37,81.31,76.77,80.89,114474800.0,000988.SZ,20251024,华工科技,NA,CNY
83.86,88.82,83.16,86.86,113734600.0,000988.SZ,20251027,华工科技,NA,CNY
86.9,88.83,85.87,86.49,79798700.0,000988.SZ,20251028,华工科技,NA,CNY
87.63,89.13,85.79,87.23,72427200.0,000988.SZ,20251029,华工科技,NA,CNY
86.69,86.69,83.3,83.56,66721900.0,000988.SZ,20251030,华工科技,NA,CNY
83.36,83.55,79.61,79.69,65266200.0,000988.SZ,20251031,华工科技,NA,CNY
78.41,79.24,75.95,78.13,55571500.0,000988.SZ,20251103,华工科技,NA,CNY
77.86,78.59,76.17,76.75,33622800.0,000988.SZ,20251104,华工科技,NA,CNY
74.39,76.13,74.18,75.62,39219500.0,000988.SZ,20251105,华工科技,NA,CNY
76.19,78.37,76.08,78.12,46289800.0,000988.SZ,20251106,华工科技,NA,CNY
76.89,78.26,75.93,77.29,33521200.0,000988.SZ,20251107,华工科技,NA,CNY
76.94,77.97,74.54,75.85,38375800.0,000988.SZ,20251110,华工科技,NA,CNY
76.77,77.07,72.74,72.9,47229800.0,000988.SZ,20251111,华工科技,NA,CNY
72.19,72.98,70.96,71.96,41790400.0,000988.SZ,20251112,华工科技,NA,CNY
72.2,73.7,71.36,73.22,30101600.0,000988.SZ,20251113,华工科技,NA,CNY
72.09,72.53,71.0,71.19,23583600.0,000988.SZ,20251114,华工科技,NA,CNY
71.19,72.7,71.01,71.56,22853800.0,000988.SZ,20251117,华工科技,NA,CNY
71.28,73.14,70.75,71.67,28675500.0,000988.SZ,20251118,华工科技,NA,CNY
71.58,73.16,71.13,71.86,31174300.0,000988.SZ,20251119,华工科技,NA,CNY
73.7,74.02,70.89,71.21,31347500.0,000988.SZ,20251120,华工科技,NA,CNY
69.1,69.58,67.17,67.77,38647300.0,000988.SZ,20251121,华工科技,NA,CNY
68.51,69.11,67.27,68.3,37747400.0,000988.SZ,20251124,华工科技,NA,CNY
69.35,72.68,69.35,70.65,48793200.0,000988.SZ,20251125,华工科技,NA,CNY
70.09,74.02,69.73,72.28,59068100.0,000988.SZ,20251126,华工科技,NA,CNY
71.89,75.85,71.79,72.79,58969000.0,000988.SZ,20251127,华工科技,NA,CNY
72.39,73.59,71.39,72.71,33704000.0,000988.SZ,20251128,华工科技,NA,CNY
72.83,73.62,71.63,73.5,51118000.0,000988.SZ,20251201,华工科技,NA,CNY
73.28,73.83,72.65,73.01,34071700.0,000988.SZ,20251202,华工科技,NA,CNY
72.87,74.32,71.7,71.96,34528300.0,000988.SZ,20251203,华工科技,NA,CNY
71.38,72.99,70.68,72.48,28619800.0,000988.SZ,20251204,华工科技,NA,CNY
72.98,76.49,72.03,74.76,61387000.0,000988.SZ,20251205,华工科技,NA,CNY
74.98,81.66,74.98,79.45,80887400.0,000988.SZ,20251208,华工科技,NA,CNY
79.8,81.85,79.47,80.23,67546300.0,000988.SZ,20251209,华工科技,NA,CNY
80.87,84.81,80.76,83.06,72170500.0,000988.SZ,20251210,华工科技,NA,CNY
83.07,83.09,79.82,79.83,58520600.0,000988.SZ,20251211,华工科技,NA,CNY
79.54,80.86,77.37,78.05,65017900.0,000988.SZ,20251212,华工科技,NA,CNY
77.88,78.37,74.86,75.14,52252800.0,000988.SZ,20251215,华工科技,NA,CNY
74.73,75.06,71.83,72.49,44554300.0,000988.SZ,20251216,华工科技,NA,CNY
72.88,77.56,72.58,77.16,64051800.0,000988.SZ,20251217,华工科技,NA,CNY
75.57,76.99,75.27,75.34,38046400.0,000988.SZ,20251218,华工科技,NA,CNY
76.75,76.75,74.73,74.88,32468600.0,000988.SZ,20251219,华工科技,NA,CNY
76.18,80.1,76.12,79.65,57441600.0,000988.SZ,20251222,华工科技,NA,CNY
79.85,81.11,79.18,79.73,44233700.0,000988.SZ,20251223,华工科技,NA,CNY
80.56,80.62,78.75,80.38,45861000.0,000988.SZ,20251224,华工科技,NA,CNY
80.87,81.95,78.99,79.99,40457800.0,000988.SZ,20251225,华工科技,NA,CNY
79.45,82.16,78.38,80.55,54480200.0,000988.SZ,20251226,华工科技,NA,CNY
79.89,82.24,79.57,80.07,47533600.0,000988.SZ,20251229,华工科技,NA,CNY
79.27,82.06,78.93,80.58,52285100.0,000988.SZ,20251230,华工科技,NA,CNY
80.87,80.92,78.4,79.2,43120600.0,000988.SZ,20251231,华工科技,NA,CNY
79.42,83.71,79.42,81.79,70885400.0,000988.SZ,20260105,华工科技,NA,CNY
81.36,81.64,79.22,80.06,63117000.0,000988.SZ,20260106,华工科技,NA,CNY
80.07,84.66,80.07,82.94,89149500.0,000988.SZ,20260107,华工科技,NA,CNY
83.74,84.78,81.74,82.16,58850400.0,000988.SZ,20260108,华工科技,NA,CNY
81.41,84.05,78.83,82.89,73154500.0,000988.SZ,20260109,华工科技,NA,CNY
83.4,85.43,82.16,84.21,61670300.0,000988.SZ,20260112,华工科技,NA,CNY
84.86,84.87,79.52,79.9,75934900.0,000988.SZ,20260113,华工科技,NA,CNY
79.94,84.36,79.67,82.15,82859700.0,000988.SZ,20260114,华工科技,NA,CNY
81.33,83.11,79.98,83.02,55178300.0,000988.SZ,20260115,华工科技,NA,CNY
83.86,83.87,81.96,82.45,46590500.0,000988.SZ,20260116,华工科技,NA,CNY
81.86,82.23,80.37,80.72,43970500.0,000988.SZ,20260119,华工科技,NA,CNY
80.8,80.85,76.68,77.07,62734900.0,000988.SZ,20260120,华工科技,NA,CNY
76.22,80.87,76.15,79.89,52397500.0,000988.SZ,20260121,华工科技,NA,CNY
80.61,80.81,78.53,80.36,37300600.0,000988.SZ,20260122,华工科技,NA,CNY
80.24,80.24,77.97,78.1,45306000.0,000988.SZ,20260123,华工科技,NA,CNY
77.87,79.87,77.43,77.61,33697400.0,000988.SZ,20260126,华工科技,NA,CNY
77.67,78.83,75.37,78.06,40125100.0,000988.SZ,20260127,华工科技,NA,CNY
77.94,79.65,77.04,78.27,38755200.0,000988.SZ,20260128,华工科技,NA,CNY
77.77,77.84,75.06,75.1,44620400.0,000988.SZ,20260129,华工科技,NA,CNY
74.88,78.27,73.67,77.28,46732000.0,000988.SZ,20260130,华工科技,NA,CNY
76.37,78.6,74.63,74.66,35600700.0,000988.SZ,20260202,华工科技,NA,CNY
75.62,78.5,75.54,78.02,61077600.0,000988.SZ,20260203,华工科技,NA,CNY
77.27,77.76,74.7,76.33,49037400.0,000988.SZ,20260204,华工科技,NA,CNY
75.0,77.2,73.99,74.51,32159400.0,000988.SZ,20260205,华工科技,NA,CNY
73.76,75.65,72.8,73.8,28403200.0,000988.SZ,20260206,华工科技,NA,CNY
75.37,78.02,75.37,76.81,54587700.0,000988.SZ,20260209,华工科技,NA,CNY
76.37,78.47,76.24,76.3,29916600.0,000988.SZ,20260210,华工科技,NA,CNY
75.84,76.75,74.62,74.7,27143400.0,000988.SZ,20260211,华工科技,NA,CNY
74.81,77.06,74.81,76.51,37823300.0,000988.SZ,20260212,华工科技,NA,CNY
