================================================================================
[V1.18 0707 回测报告 - 仅触发信号]
================================================================================

改进说明:
1. 弱势震荡检测: 平开/低开后全天均线下 -> 禁止买入, 鼓励卖出
2. 45度斜率+均线穿越: 均线上下窜可低吸, 全天均线下不可低吸
3. 卖出幅度过滤: 幅度<0.3%不触发高抛

================================================================================
  002261 拓维信息
================================================================================
  全天最高分: 买0 (at ) / 卖0 (at )
  全天无触发信号

================================================================================
  588170 科创半导体ETF
================================================================================
  全天最高分: 买36 (at 10:13) / 卖134 (at 10:09)
  触发信号数: 141

  [14:46] SELL_HIGH 000988 华工科技 价格153.65 评分74
  [14:47] SELL_HIGH 000988 华工科技 价格153.45 评分64
  [14:48] SELL_HIGH 000988 华工科技 价格153.53 评分64
  [14:49] SELL_HIGH 000988 华工科技 价格153.75 评分49
  [14:50] SELL_HIGH 000988 华工科技 价格153.89 评分45
  [14:51] SELL_HIGH 000988 华工科技 价格153.73 评分49
  [14:52] SELL_HIGH 000988 华工科技 价格153.85 评分45
  [14:53] SELL_HIGH 000988 华工科技 价格153.90 评分60
  [14:54] SELL_HIGH 000988 华工科技 价格153.76 评分49
  [14:55] SELL_HIGH 000988 华工科技 价格153.67 评分64
  [14:56] SELL_HIGH 000988 华工科技 价格153.53 评分64
  [14:57] SELL_HIGH 000988 华工科技 价格153.57 评分64
  [14:58] SELL_HIGH 000988 华工科技 价格153.58 评分64

================================================================================
  300666 江丰电子
================================================================================
  全天最高分: 买17 (at 10:02) / 卖110 (at 10:40)
  触发信号数: 55

  [09:45] SELL_HIGH 300666 江丰电子 价格330.82 评分80
  [09:46] SELL_HIGH 300666 江丰电子 价格332.90 评分80
  [09:47] SELL_HIGH 300666 江丰电子 价格333.88 评分80
  [09:48] SELL_HIGH 300666 江丰电子 价格333.61 评分102
  [09:49] SELL_HIGH 300666 江丰电子 价格332.95 评分89
  [09:50] SELL_HIGH 300666 江丰电子 价格330.23 评分75
  [09:53] SELL_HIGH 300666 江丰电子 价格331.91 评分69
  [09:54] SELL_HIGH 300666 江丰电子 价格330.99 评分60
  [09:55] SELL_HIGH 300666 江丰电子 价格332.63 评分69
  [09:56] SELL_HIGH 300666 江丰电子 价格333.03 评分45
  [09:57] SELL_HIGH 300666 江丰电子 价格332.77 评分90
  [09:58] SELL_HIGH 300666 江丰电子 价格331.20 评分75
  [09:59] SELL_HIGH 300666 江丰电子 价格331.65 评分69
  [10:00] SELL_HIGH 300666 江丰电子 价格332.40 评分49
  [10:01] SELL_HIGH 300666 江丰电子 价格332.39 评分49
  [10:02] SELL_HIGH 300666 江丰电子 价格333.58 评分84
  [10:04] SELL_HIGH 300666 江丰电子 价格332.40 评分49
  [10:05] SELL_HIGH 300666 江丰电子 价格333.90 评分99
  [10:06] SELL_HIGH 300666 江丰电子 价格335.61 评分84
  [10:07] SELL_HIGH 300666 江丰电子 价格333.33 评分74
  [10:35] SELL_HIGH 300666 江丰电子 价格332.06 评分62
  [10:36] SELL_HIGH 300666 江丰电子 价格334.08 评分95
  [10:37] SELL_HIGH 300666 江丰电子 价格333.90 评分95
  [10:38] SELL_HIGH 300666 江丰电子 价格334.77 评分95
  [10:39] SELL_HIGH 300666 江丰电子 价格333.70 评分109
  [10:40] SELL_HIGH 300666 江丰电子 价格335.90 评分110
  [10:41] SELL_HIGH 300666 江丰电子 价格336.80 评分99
  [10:42] SELL_HIGH 300666 江丰电子 价格336.00 评分106
  [10:43] SELL_HIGH 300666 江丰电子 价格334.82 评分101
  [10:44] SELL_HIGH 300666 江丰电子 价格336.10 评分109
  [10:45] SELL_HIGH 300666 江丰电子 价格335.86 评分101
  [10:46] SELL_HIGH 300666 江丰电子 价格335.78 评分71
  [10:47] SELL_HIGH 300666 江丰电子 价格334.06 评分82
  [10:48] SELL_HIGH 300666 江丰电子 价格333.29 评分45
  [10:49] SELL_HIGH 300666 江丰电子 价格332.51 评分45
  [10:50] SELL_HIGH 300666 江丰电子 价格334.08 评分57
  [10:51] SELL_HIGH 300666 江丰电子 价格333.03 评分49
  [10:52] SELL_HIGH 300666 江丰电子 价格333.19 评分49
  [10:53] SELL_HIGH 300666 江丰电子 价格333.81 评分46
  [10:54] SELL_HIGH 300666 江丰电子 价格334.88 评分49
  [10:55] SELL_HIGH 300666 江丰电子 价格333.99 评分46
  [10:56] SELL_HIGH 300666 江丰电子 价格335.04 评分49
  [10:57] SELL_HIGH 300666 江丰电子 价格335.46 评分64
  [10:58] SELL_HIGH 300666 江丰电子 价格335.40 评分61
  [10:59] SELL_HIGH 300666 江丰电子 价格336.40 评分84
  [11:00] SELL_HIGH 300666 江丰电子 价格335.00 评分76
  [11:01] SELL_HIGH 300666 江丰电子 价格334.00 评分61
  [11:02] SELL_HIGH 300666 江丰电子 价格335.28 评分61
  [11:03] SELL_HIGH 300666 江丰电子 价格333.21 评分49
  [11:06] SELL_HIGH 300666 江丰电子 价格333.43 评分66
  [13:35] SELL_HIGH 300666 江丰电子 价格331.31 评分65
  [13:42] SELL_HIGH 300666 江丰电子 价格331.87 评分55
  [13:49] SELL_HIGH 300666 江丰电子 价格332.70 评分67
  [13:50] SELL_HIGH 300666 江丰电子 价格332.00 评分55
  [13:51] SELL_HIGH 300666 江丰电子 价格331.91 评分45
