date,total_market_value,cash_balance,total_asset_value,shares,nav,strategy_yield,strategy_yield_daily,strategy_drawdown,profit_loss,benchmark_price,benchmark_yield,benchmark_yield_daily,benchmark_drawdown
2026-06-02,119400.0,105159.99984741211,224559.9998474121,200000.0,1.1227999992370605,0.12279999923706053,0.0225120209977191,-0.042510554045318893,1,4914.5591,0.030442246361824576,0.014512756098171264,-0.01676207931122431
2026-06-03,123511.99999999999,104136.9987487793,227648.9987487793,200000.0,1.1382449937438965,0.13824499374389654,0.013755784215649125,-0.02933953583800497,1,4938.8091,0.035526776625032674,0.004934318523100112,-0.011910470226555225
2026-06-04,126688.00000000001,105561.9987487793,232249.9987487793,200000.0,1.1612499937438965,0.16124999374389648,0.02021093888085752,-0.009721576522762065,1,4904.7454,0.02838459462392584,-0.006897148545385257,-0.01872547048954254
2026-06-05,125759.99999999999,103936.99569702148,229696.99569702148,200000.0,1.1484849784851074,0.14848497848510744,-0.010992478215336162,-0.020607190519952967,-1,4816.9199,0.009970103381395035,-0.017906230158246328,-0.036296398063381696
2026-06-08,104195.0,119364.99557495117,223559.99557495117,200000.0,1.1177999778747558,0.11779997787475582,-0.0267178075335615,-0.04677441910339497,-1,4713.6358,-0.011685613408633944,-0.021441938447014586,-0.05696007137727299
2026-06-09,93318.0,134782.9948425293,228100.9948425293,200000.0,1.1405049742126465,0.14050497421264652,0.02031221755886873,-0.02741229372154408,1,4801.8106,0.006802116036822126,0.018706324319753387,-0.039319260625979235
2026-06-10,119200.0,104829.99496459961,224029.9949645996,200000.0,1.120149974822998,0.12014997482299794,-0.01784735696019279,-0.04477041369059087,-1,4748.5932,-0.004356048121084699,-0.011082777817184142,-0.04996627181370972
2026-06-11,105350.0,119978.99551391602,225328.99551391602,200000.0,1.1266449775695802,0.12664497756958015,0.0057983331630289325,-0.0392316743019866,1,4722.4122,-0.009845453763189904,-0.00551342237528385,-0.0552042090279663
2026-06-12,105707.0,120153.99551391602,225860.99551391602,200000.0,1.12930497756958,0.12930497756958004,0.002360992196262293,-0.0369633077825976,1,4777.3206,0.0016672646493598453,0.011627193407640402,-0.04421888563560994
2026-06-15,96588.0,135470.99533081055,232058.99533081055,200000.0,1.1602949766540527,0.16029497665405268,0.02744165632845026,-0.010535985843080131,1,4891.7126,0.025651989839829525,0.023944802867113424,-0.021332895268044605
2026-06-16,131200.0,103083.9958190918,234283.9958190918,200000.0,1.171419979095459,0.17141997909545892,0.009588081190773966,-0.0010489245399945002,1,4884.2322,0.024083564265359403,-0.0015291985878318481,-0.022829471622558217
2026-06-17,136408.0,104184.99526977539,240592.9952697754,200000.0,1.202964976348877,0.202964976348877,0.026928853712889837,0.0,1,4931.3861,0.033970386186113144,0.009654311684853756,-0.013395562772349101
2026-06-18,124285.00000000001,122177.99453735352,246462.99453735352,200000.0,1.2323149726867675,0.23231497268676748,0.02439804725401961,0.0,1,4941.5986,0.036111654858814735,0.002070918762576923,-0.011352385132052834
2026-06-22,122268.99999999999,122177.99453735352,244446.99453735352,200000.0,1.2222349726867676,0.22223497268676762,-0.008179726955700978,-0.008179726955701017,-1,5059.6582,0.06086537069643261,0.023890973257115533,0.0
2026-06-23,81830.0,156033.9942932129,237863.9942932129,200000.0,1.1893199714660645,0.1893199714660645,-0.026930174603290887,-0.034889620083867645,-1,4919.386,0.031454309006256675,-0.027723651372339675,-0.027723651372339675
2026-06-24,134312.0,106417.99545288086,240729.99545288086,200000.0,1.2036499772644043,0.20364997726440426,0.012048907057934365,-0.02326109481561034,1,4943.0197,0.03640961881580629,0.004804197109151254,-0.02305264414896646
2026-06-25,138864.0,106552.99453735352,245416.99453735352,200000.0,1.2270849726867676,0.22708497268676764,0.01946994214682351,-0.004244044839118555,1,5020.1038,0.05257194620806005,0.01559453627101659,-0.007817603173273624
2026-06-26,128752.0,106552.99453735352,235304.99453735352,200000.0,1.1765249726867675,0.17652497268676748,-0.04120334053907967,-0.0452725165534289,-1,4868.2205,0.02072636949358997,-0.030255011858519643,-0.03783609335508065
2026-06-29,141624.0,107151.99356079102,248775.99356079102,200000.0,1.2438799678039552,0.24387996780395516,0.05724909940787118,0.0,1,4926.921,0.033034182636494824,0.012057896720166994,-0.026234420340883857
2026-06-30,110766.00000000001,143963.99307250977,254729.99307250977,200000.0,1.2736499653625488,0.2736499653625488,0.023933175490519387,0.0,1,4979.4328,0.0440444026890936,0.010658137201712714,-0.01585589319057168
2026-07-01,104130.0,143963.99307250977,248093.99307250977,200000.0,1.2404699653625488,0.24046996536254883,-0.0260511136515873,-0.0260511136515873,-1,4958.9773,0.03975547036748317,-0.004107998003306745,-0.019898755216310904
2026-07-02,93720.0,143963.99307250977,237683.99307250977,200000.0,1.188419965362549,0.1884199653625489,-0.041959903466737634,-0.06691791490430332,-1,4812.2957,0.009000541119822625,-0.029579002105938224,-0.04888917199980036
2026-07-03,76975.0,159590.99349975586,236565.99349975586,200000.0,1.1828299674987792,0.18282996749877922,-0.004703722612119152,-0.07130687420693127,-1,4842.1737,0.015265101746797072,0.006208679154940722,-0.04298403002795714
2026-07-06,59879.99999999999,174283.99276733398,234163.99276733398,200000.0,1.1708199638366699,0.17081996383666986,-0.010153618011137983,-0.08073646945580382,-1,4841.998,0.015228262490415867,-0.000036285356719178985,-0.043018755693813526
2026-07-07,61436.0,174283.99276733398,235719.99276733398,200000.0,1.17859996383667,0.17859996383666998,0.006644915734529989,-0.07462804075751106,1,4792.2624,0.004800132042629857,-0.010271710149405311,-0.05284858965374384
2026-07-08,44250.0,188949.99313354492,233199.99313354492,200000.0,1.1659999656677247,0.16599996566772468,-0.010690648698078025,-0.08452086728882469,-1,4755.5338,-0.0029008031419168745,-0.0076641462704545305,-0.060107696602904825
2026-07-09,47700.0,188949.99313354492,236649.99313354492,200000.0,1.1832499656677247,0.18324996566772467,0.014794168531661624,-0.07097711471227608,1,4876.3125,0.022423030066368366,0.025397506374573497,-0.03623677583596452
2026-07-10,47421.0,188949.99313354492,236370.99313354492,200000.0,1.1818549656677246,0.18185496566772463,-0.0011789562987333932,-0.07207239209455352,-1,4780.7867,0.0023940065192691318,-0.01958976173081617,-0.055116667762261096
2026-07-13,46272.0,188949.99313354492,235221.99313354492,200000.0,1.1761099656677245,0.17610996566772452,-0.004861002548442397,-0.07658305056135195,-1,4695.383,-0.015512702645264165,-0.01786394276908443,-0.07199600953281782
2026-07-14,15984.0,217997.99270629883,233981.99270629883,200000.0,1.1699099635314942,0.16990996353149423,-0.005271617720465704,-0.08145095171539118,-1,4796.502,0.005689054702584517,0.021535836373731465,-0.052010667439946756
2026-07-15,0.0,232688.99307250977,232688.99307250977,200000.0,1.163444965362549,0.16344496536254893,-0.0055260647147837225,-0.0865269131999149,-1,4786.7828,0.0036512169073608103,-0.0020263100067507978,-0.053931587710806195
2026-07-16,0.0,232688.99307250977,232688.99307250977,200000.0,1.163444965362549,0.16344496536254893,0.0,-0.0865269131999149,0,4698.4344,-0.014872911484639317,-0.018456738835110675,-0.0713929253165757
2026-07-17,0.0,232688.99307250977,232688.99307250977,200000.0,1.163444965362549,0.16344496536254893,0.0,-0.0865269131999149,0,4529.0953,-0.050378469368944634,-0.03604160143217072,-0.10486141138940963
2026-07-20,0.0,232688.99307250977,232688.99307250977,200000.0,1.163444965362549,0.16344496536254893,0.0,-0.0865269131999149,0,4598.3208,-0.035863865256131944,0.015284619866577032,-0.09117955833459257
2026-07-21,0.0,232688.99307250977,232688.99307250977,200000.0,1.163444965362549,0.16344496536254893,0.0,-0.0865269131999149,0,4739.2287,-0.006319515488087402,0.030643338324720437,-0.06333026606421754
2026-07-22,0.0,232688.99307250977,232688.99307250977,200000.0,1.163444965362549,0.16344496536254893,0.0,-0.0865269131999149,0,4717.2442,-0.010929035305468626,-0.0046388350070549755,-0.06767532241604779
2026-07-23,0.0,232688.99307250977,232688.99307250977,200000.0,1.163444965362549,0.16344496536254893,0.0,-0.0865269131999149,0,4728.0018,-0.008673474779304247,0.0022804840164942775,-0.06554917089063439
2026-07-24,0.0,232688.99307250977,232688.99307250977,200000.0,1.163444965362549,0.16344496536254893,0.0,-0.0865269131999149,0,4649.1917,-0.025197694923487557,-0.016668796530491914,-0.08112534162880791
